name,method,time to repair,number of changes
./out/supercat01/59,SHAP,29.07,5
./out/supercat01/59,UNI,954.36,5
./out/supercat01/92,SHAP,29.08,6
./out/supercat01/92,IG,16.01,5
./out/supercat01/92,UNI,63.91,5
./out/supercat01/66,SHAP,29.16,5
./out/supercat01/66,IG,16.19,5
./out/supercat01/66,UNI,783.47,5
./out/supercat01/50,SHAP,28.9,6
./out/supercat01/50,UNI,41.97,5
./out/supercat01/68,SHAP,29.09,5
./out/supercat01/68,IG,15.76,5
./out/supercat01/68,UNI,781.45,5
./out/supercat01/57,SHAP,29.29,6
./out/supercat01/57,UNI,51.54,5
./out/supercat01/35,SHAP,28.93,5
./out/supercat01/35,UNI,732.98,5
./out/supercat01/69,SHAP,29.24,6
./out/supercat01/69,IG,16.28,5
./out/supercat01/69,UNI,51.78,5
./out/supercat01/56,SHAP,15.55,5
./out/supercat01/56,UNI,51.36,5
./out/supercat01/51,SHAP,28.84,5
./out/supercat01/51,UNI,46.63,5
./out/supercat01/58,SHAP,29.1,5
./out/supercat01/58,UNI,950.79,5
./out/supercat01/67,SHAP,29.26,5
./out/supercat01/67,IG,16.03,5
./out/supercat01/67,UNI,647.97,5
./out/supercat01/93,IG,16.48,5
./out/supercat01/93,UNI,778.92,5
./out/supercat01/94,SHAP,29.2,6
./out/supercat01/94,IG,16.04,5
./out/supercat01/94,UNI,51.14,5
./out/supercat01/60,SHAP,29.24,5
./out/supercat01/60,UNI,760.12,5
./out/supercat01/34,SHAP,29.1,5
./out/supercat01/34,UNI,45.63,5
./out/supercat01/33,SHAP,28.89,5
./out/supercat01/33,UNI,969.71,5
./out/supercat01/20,SHAP,28.98,4
./out/supercat01/20,UNI,294.15,4
./out/supercat01/18,SHAP,28.93,4
./out/supercat01/18,UNI,363.7,4
./out/supercat01/27,SHAP,29.48,5
./out/supercat01/27,UNI,955.54,5
./out/supercat01/9,SHAP,28.94,5
./out/supercat01/9,UNI,955.6,5
./out/supercat01/11,SHAP,21.6,4
./out/supercat01/11,UNI,111.94,4
./out/supercat01/7,SHAP,28.99,5
./out/supercat01/7,UNI,46.82,5
./out/supercat01/29,SHAP,28.95,6
./out/supercat01/29,UNI,51.36,5
./out/supercat01/16,SHAP,28.91,5
./out/supercat01/16,UNI,46.48,5
./out/supercat01/42,SHAP,29.15,6
./out/supercat01/42,UNI,63.11,5
./out/supercat01/89,SHAP,29.23,5
./out/supercat01/89,IG,16.16,5
./out/supercat01/89,UNI,57.25,5
./out/supercat01/45,SHAP,29.03,6
./out/supercat01/45,UNI,41.82,5
./out/supercat01/73,SHAP,29.21,5
./out/supercat01/73,IG,16.24,5
./out/supercat01/73,UNI,63.6,5
./out/supercat01/87,SHAP,29.19,5
./out/supercat01/87,IG,16.42,5
./out/supercat01/87,UNI,57.38,5
./out/supercat01/80,SHAP,29.17,5
./out/supercat01/80,IG,16.21,5
./out/supercat01/80,UNI,782.07,5
