name,method,time to repair,number of changes
./out/mario03/3,SHAP,524.43,1
./out/mario03/3,IG,2809.28,1
./out/mario03/3,UNI,1756.89,1
./out/mario03/12,SHAP,3004.86,1
./out/mario03/12,IG,2860.82,1
./out/mario03/12,UNI,1744.67,1
./out/mario03/13,SHAP,65.51,1
./out/mario03/13,IG,,1
./out/mario03/13,UNI,49.41,1
./out/mario03/5,SHAP,2467.61,1
./out/mario03/5,IG,1291.56,1
./out/mario03/5,UNI,1328.7,1
./out/mario03/14,SHAP,604.41,1
./out/mario03/14,IG,,1
./out/mario03/14,UNI,2121.11,1
./out/mario03/22,SHAP,551.89,1
./out/mario03/22,IG,0.15,1
./out/mario03/22,UNI,598.6,1
./out/mario04/35,SHAP,41.53,1
./out/mario04/35,IG,0.16,1
./out/mario04/35,UNI,303.53,1
./out/mario04/33,SHAP,1814.08,1
./out/mario04/33,IG,0.16,1
./out/mario04/33,UNI,802.43,1
./out/mario04/9,SHAP,834.63,2
./out/mario04/9,IG,1526.62,1
./out/mario04/9,UNI,826.1,1
./out/mario04/7,SHAP,904.59,1
./out/mario04/7,IG,3808.26,1
./out/mario04/7,UNI,1163.4,1
./out/mario04/29,SHAP,2067.49,1
./out/mario04/29,IG,0.15,1
./out/mario04/29,UNI,3842.23,1
./out/mario04/6,SHAP,602.14,1
./out/mario04/6,IG,240.86,1
./out/mario04/6,UNI,611.32,1
./out/mario04/17,SHAP,264.63,1
./out/mario04/17,IG,0.17,1
./out/mario04/17,UNI,120.81,1
./out/mario04/1,SHAP,509.96,1
./out/mario04/1,IG,,1
./out/mario04/1,UNI,1507.41,1
./out/mario04/19,SHAP,253.37,1
./out/mario04/19,IG,0.15,1
./out/mario04/19,UNI,135.45,1
./out/mario04/26,SHAP,2416.4,1
./out/mario04/26,IG,0.17,1
./out/mario04/26,UNI,3549.91,1
./out/mario04/8,SHAP,638.02,2
./out/mario04/8,IG,1514.76,1
./out/mario04/8,UNI,651.17,1
./out/mario04/21,SHAP,1881.72,1
./out/mario04/21,IG,0.25,1
./out/mario04/21,UNI,3181.56,1
./out/mario04/38,SHAP,2032.55,1
./out/mario04/38,IG,0.14,1
./out/mario04/38,UNI,3512.97,1
./out/mario04/36,IG,0.16,1
./out/mario04/36,UNI,1732.83,1
./out/mario04/24,SHAP,1655.68,1
./out/mario04/24,IG,0.15,1
./out/mario04/24,UNI,420.73,1
./out/mario04/4,SHAP,,1
./out/mario04/4,IG,,1
./out/mario04/4,UNI,1200.84,1
./out/mario04/3,SHAP,2684.61,1
./out/mario04/3,IG,,1
./out/mario04/3,UNI,12778.43,1
./out/mario04/5,SHAP,777.87,1
./out/mario04/5,IG,1393.29,1
./out/mario04/5,UNI,1493.11,1
./out/mario04/14,SHAP,2393.1,1
./out/mario04/14,IG,,1
./out/mario04/14,UNI,1281.28,1
./out/mario04/22,SHAP,1522.59,1
./out/mario04/22,IG,0.15,1
./out/mario04/22,UNI,2671.7,1
./out/mario04/25,SHAP,1784.27,1
./out/mario04/25,IG,0.16,1
./out/mario04/25,UNI,1596.63,1
./out/mario05/34,SHAP,2653.31,1
./out/mario05/34,IG,0.14,1
./out/mario05/34,UNI,1469.82,1
./out/mario05/33,IG,0.17,1
./out/mario05/33,UNI,2706.1,1
./out/mario05/20,SHAP,2416.82,1
./out/mario05/20,IG,0.17,1
./out/mario05/20,UNI,1556.97,1
./out/mario05/18,SHAP,709.79,1
./out/mario05/18,IG,0.16,1
./out/mario05/18,UNI,716.8,1
./out/mario05/27,IG,0.17,1
./out/mario05/27,UNI,3230.84,1
./out/mario05/9,SHAP,70.04,1
./out/mario05/9,IG,216.9,1
./out/mario05/9,UNI,70.41,1
./out/mario05/7,SHAP,1563.46,1
./out/mario05/7,IG,3736.33,1
./out/mario05/7,UNI,2691.71,1
./out/mario05/16,SHAP,3988.29,1
./out/mario05/16,IG,0.16,1
./out/mario05/16,UNI,896.36,1
./out/mario05/6,SHAP,97.5,1
./out/mario05/6,IG,,1
./out/mario05/6,UNI,104.89,1
./out/mario05/17,SHAP,627.99,1
./out/mario05/17,IG,0.16,1
./out/mario05/17,UNI,2806.92,1
./out/mario05/10,SHAP,187.54,2
./out/mario05/10,IG,1487.36,1
./out/mario05/10,UNI,186.22,1
./out/mario05/19,SHAP,574.08,1
./out/mario05/19,IG,0.15,1
./out/mario05/19,UNI,2690.75,1
./out/mario05/36,IG,0.14,1
./out/mario05/36,UNI,463.38,1
./out/mario05/31,SHAP,1498.93,2
./out/mario05/31,IG,0.14,1
./out/mario05/31,UNI,2714.48,1
./out/mario05/30,SHAP,1492.75,1
./out/mario05/30,IG,0.15,1
./out/mario05/30,UNI,1492.25,1
./out/mario05/37,SHAP,1468.17,1
./out/mario05/37,IG,0.15,1
./out/mario05/37,UNI,2593.32,1
./out/mario05/4,SHAP,5304.91,1
./out/mario05/4,IG,,1
./out/mario05/4,UNI,2861.91,1
./out/mario05/15,SHAP,763.27,1
./out/mario05/15,IG,0.25,1
./out/mario05/15,UNI,350.34,1
./out/mario05/3,IG,,1
./out/mario05/3,UNI,2874.37,1
./out/mario05/2,SHAP,,1
./out/mario05/2,IG,1368.53,1
./out/mario05/2,UNI,3928.98,1
./out/mario05/13,SHAP,785.79,1
./out/mario05/13,IG,,1
./out/mario05/13,UNI,354.19,1
./out/mario05/5,IG,,1
./out/mario05/5,UNI,2890.77,1
./out/mario05/14,SHAP,870.35,1
./out/mario05/14,IG,0.15,1
./out/mario05/14,UNI,2869.88,1
./out/mario05/25,SHAP,2688.68,1
./out/mario05/25,IG,0.16,1
./out/mario05/25,UNI,2730.5,1
./out/mario06/1,SHAP,3825.39,1
./out/mario06/1,IG,3783.27,1
./out/mario06/1,UNI,3539.66,1
./out/mario06/4,SHAP,27.97,1
./out/mario06/4,IG,199.73,1
./out/mario06/4,UNI,369.86,1
./out/mario06/3,SHAP,356.02,1
./out/mario06/3,IG,2636.1,1
./out/mario06/3,UNI,3610.16,1
./out/mario06/5,SHAP,65.59,1
./out/mario06/5,IG,217.92,1
./out/mario06/5,UNI,1495.25,1
./out/mario07/1,SHAP,3529.16,1
./out/mario07/1,IG,,1
./out/mario07/1,UNI,13721.46,1
./out/mario07/3,SHAP,2176.49,1
./out/mario07/3,IG,1541.51,1
./out/mario07/3,UNI,3904.44,1
./out/mario08/1,SHAP,4550.88,1
./out/mario08/1,IG,,1
./out/mario08/1,UNI,8705.46,1
./out/mario08/4,SHAP,928.16,1
./out/mario08/4,IG,,1
./out/mario08/4,UNI,6809.44,1
./out/mario08/2,SHAP,139.95,1
./out/mario08/2,IG,231.97,1
./out/mario08/2,UNI,1155.34,1
./out/mario0/35,IG,1279.22,1
./out/mario0/35,UNI,1345.67,1
./out/mario0/67,SHAP,206.57,1
./out/mario0/67,IG,207.47,1
./out/mario0/67,UNI,206.33,1
./out/mario0/60,SHAP,464.33,1
./out/mario0/60,UNI,522.77,1
./out/mario0/33,IG,1835.69,1
./out/mario0/33,UNI,1871.23,1
