name,method,time to repair,number of changes
./out/cave0/79,UNI,2.01,2
./out/cave0/41,SHAP,0.89,1
./out/cave0/41,IG,0.95,1
./out/cave0/41,UNI,0.94,1
./out/cave0/83,SHAP,2.89,4
./out/cave0/83,IG,1.31,4
./out/cave0/83,UNI,1.67,4
./out/cave0/77,SHAP,0.94,1
./out/cave0/77,IG,1.03,1
./out/cave0/77,UNI,0.94,1
./out/cave0/48,SHAP,1.49,4
./out/cave0/48,IG,2.9,4
./out/cave0/48,UNI,5.44,4
./out/cave0/70,SHAP,1.29,3
./out/cave0/70,IG,0.98,3
./out/cave0/70,UNI,0.94,3
./out/cave0/84,SHAP,1.02,2
./out/cave0/84,IG,0.98,2
./out/cave0/84,UNI,0.98,2
./out/cave0/24,SHAP,0.81,1
./out/cave0/24,IG,1.05,2
./out/cave0/24,UNI,1.3,1
./out/cave0/23,SHAP,0.93,1
./out/cave0/23,IG,1.02,1
./out/cave0/23,UNI,1.02,1
./out/cave0/4,SHAP,0.94,3
./out/cave0/4,IG,1.22,3
./out/cave0/4,UNI,1.23,3
./out/cave0/15,SHAP,1.05,4
./out/cave0/15,IG,3.72,4
./out/cave0/15,UNI,1.89,4
./out/cave0/3,SHAP,0.89,5
./out/cave0/3,IG,1.1,5
./out/cave0/3,UNI,1.08,5
./out/cave0/12,SHAP,0.83,1
./out/cave0/12,IG,1.11,1
./out/cave0/12,UNI,1.02,1
./out/cave0/85,SHAP,0.83,1
./out/cave0/85,IG,0.94,1
./out/cave0/85,UNI,0.89,1
./out/cave0/71,SHAP,31.51,10
./out/cave0/71,IG,52.54,10
./out/cave0/71,UNI,36.61,10
./out/cave0/76,SHAP,0.82,1
./out/cave0/76,IG,0.92,1
./out/cave0/76,UNI,0.92,1
./out/cave0/82,SHAP,5.3,4
./out/cave0/82,IG,1.47,4
./out/cave0/82,UNI,1.63,4
./out/cave0/49,SHAP,0.88,1
./out/cave0/49,IG,0.87,1
./out/cave0/49,UNI,0.95,1
./out/cave0/40,SHAP,0.97,1
./out/cave0/40,IG,1.15,1
./out/cave0/40,UNI,1.27,1
./out/cave0/47,SHAP,0.86,3
./out/cave0/47,IG,1.2,3
./out/cave0/47,UNI,1.15,3
./out/cave0/78,SHAP,2.82,7
./out/cave0/78,IG,5.83,7
./out/cave0/78,UNI,4.03,7
./out/cave0/2,SHAP,1.23,5
./out/cave0/2,IG,1.25,4
./out/cave0/2,UNI,1.35,4
./out/cave0/13,SHAP,4.22,7
./out/cave0/13,IG,2.71,7
./out/cave0/13,UNI,4.24,7
./out/cave0/5,SHAP,6.41,6
./out/cave0/5,IG,1.4,6
./out/cave0/5,UNI,9.32,6
./out/cave0/14,SHAP,0.84,2
./out/cave0/14,IG,1.1,2
./out/cave0/14,UNI,1.79,2
./out/cave0/22,SHAP,0.96,2
./out/cave0/22,IG,1.4,2
./out/cave0/22,UNI,2.2,2
./out/cave0/25,SHAP,0.82,2
./out/cave0/25,IG,1.25,2
./out/cave0/25,UNI,1.6,2
./out/cave00/61,SHAP,1.71,1
./out/cave00/61,IG,1.42,1
./out/cave00/61,UNI,1.6,1
./out/cave00/95,SHAP,0.83,3
./out/cave00/95,IG,0.81,3
./out/cave00/95,UNI,1.04,3
./out/cave00/59,SHAP,0.8,1
./out/cave00/59,IG,0.83,1
./out/cave00/59,UNI,1.02,1
./out/cave00/92,SHAP,0.86,2
./out/cave00/92,IG,0.78,2
./out/cave00/92,UNI,0.97,2
./out/cave00/66,SHAP,0.81,2
./out/cave00/66,IG,0.81,2
./out/cave00/66,UNI,0.93,2
./out/cave00/50,SHAP,0.9,5
./out/cave00/50,IG,0.87,5
./out/cave00/50,UNI,1.0,5
./out/cave00/68,SHAP,0.79,1
./out/cave00/68,IG,0.81,1
./out/cave00/68,UNI,1.26,1
./out/cave00/57,SHAP,0.84,2
./out/cave00/57,IG,0.82,2
./out/cave00/57,UNI,1.51,2
./out/cave00/32,SHAP,0.96,2
./out/cave00/32,IG,0.84,2
./out/cave00/32,UNI,1.76,2
./out/cave00/35,SHAP,12.01,7
./out/cave00/35,IG,16.58,7
./out/cave00/35,UNI,16.56,7
./out/cave00/69,SHAP,0.9,4
./out/cave00/69,IG,0.92,4
./out/cave00/69,UNI,1.5,4
./out/cave00/56,SHAP,0.94,3
./out/cave00/56,IG,0.81,3
./out/cave00/56,UNI,1.15,3
./out/cave00/51,SHAP,0.81,2
./out/cave00/51,IG,0.83,2
./out/cave00/51,UNI,1.23,2
./out/cave00/58,SHAP,0.83,1
./out/cave00/58,IG,0.87,1
./out/cave00/58,UNI,0.99,1
./out/cave00/67,SHAP,0.81,1
./out/cave00/67,IG,0.89,1
./out/cave00/67,UNI,1.02,1
